awards,budget,openingwknd,metacritic,locs,release_date,gross,nudity_score,violence_score,profanity_score,alcohol_score,frightening_score,year,month,cci,sequel
29.0,35034965.03496504,18481504.615384616,83.0,14.0,2009-05-29,49166464.16083916,7,65,1,2,10,2009,"(5, 2009)",97.72716,0
2.0,12846153.846153844,16487973.062937064,30.0,1.0,2009-10-23,32341117.23076923,0,14,1,2,2,2009,"(10, 2009)",98.08700999999999,1
9.0,17517482.51748252,16488254.51048951,42.0,2.0,2009-03-13,38213377.93706294,11,28,1,3,1,2009,"(3, 2009)",96.90652,0
1.0,18685314.685314685,23135438.426573426,30.0,6.0,2009-01-09,49831877.41258741,12,21,1,1,4,2009,"(1, 2009)",96.73339,0
5.0,20231277.53303965,23848124.17400881,39.0,3.0,1991-09-13,64136888.88766521,4,10,1,1,5,1991,"(9, 1991)",99.30043,1
9.0,11035242.2907489,10156561.123348018,64.0,4.0,1991-11-01,44516450.63876653,5,15,5,3,3,1991,"(11, 1991)",98.25163,0
5.0,1672026.699029126,17681898.18567961,22.0,8.0,1980-05-09,120855916.875,3,15,1,3,5,1980,"(5, 1980)",96.23066999999999,0
2.0,5970466.321243523,24417966.43523316,30.0,11.0,1982-08-13,95242091.02072538,4,13,1,2,4,1982,"(8, 1982)",97.70959,1
14.0,30334608.03059273,16350042.39961759,48.0,7.0,1996-01-19,41117507.45697897,7,12,1,1,2,1996,"(1, 1996)",100.3446,0
3.0,23948374.760994267,336153.7571701721,63.0,8.0,1996-05-03,39723967.49521989,2,4,1,2,3,1996,"(5, 1996)",100.5662,0
11.0,63862332.69598471,14531853.049713193,45.0,2.0,1996-08-23,44167160.55449331,2,1,1,1,1,1996,"(8, 1996)",100.9482,0
10.0,49505928.85375494,15579965.607001696,54.0,9.0,2001-10-19,44700410.97120271,10,27,1,1,2,2001,"(10, 2001)",99.65382,0
3.0,59407114.62450593,21450713.87634105,30.0,3.0,2001-10-26,59220349.97176736,2,26,2,1,3,2001,"(10, 2001)",99.65382,0
9.0,14144551.10107284,22393228.96668549,49.0,13.0,2001-08-31,53613754.02315076,6,16,2,1,5,2001,"(8, 2001)",100.2345,0
1.0,48735408.56031129,16017829.135630906,28.0,4.0,2002-10-25,41931236.77320734,3,35,1,2,3,2002,"(10, 2002)",99.63846,0
2.0,20886603.66870484,17116043.971650913,19.0,5.0,2002-07-12,42266746.64257921,12,17,1,3,1,2002,"(7, 2002)",100.3275,1
7.0,45950528.07115064,24656087.00944969,33.0,5.0,2002-03-15,55864297.41245136,8,37,1,1,3,2002,"(3, 2002)",100.8773,0
3.0,44558087.82657032,15607655.227904392,52.0,10.0,2002-01-25,49774684.1856587,4,6,1,1,0,2002,"(1, 2002)",100.4898,0
4.0,55633253.30132052,23976476.68667467,28.0,8.0,1999-10-29,61416227.73709483,2,7,4,1,3,1999,"(10, 1999)",102.1533,0
0.0,52626050.42016807,16500740.231092434,34.0,6.0,1999-07-16,47770040.25810324,4,16,1,1,3,1999,"(7, 1999)",102.2442,0
0.0,10220318.2374541,17007071.505507953,39.0,3.0,2017-10-27,38891205.2876377,1,15,1,4,2,2017,"(10, 2017)",101.3234,1
7.0,59277845.77723378,12777376.450428395,54.0,1.0,2017-03-24,30900132.64381885,2,6,1,0,2,2017,"(3, 2017)",101.2155,0
5.0,40881272.94981641,13901351.860465115,49.0,21.0,2017-01-27,27421183.32925337,0,19,1,0,0,2017,"(1, 2017)",101.2579,1
0.0,35771113.831089355,13990339.149326805,23.0,4.0,2017-01-06,31016887.51529988,3,5,2,0,0,2017,"(1, 2017)",101.2579,1
2.0,25550795.59363525,13289103.696450427,25.0,5.0,2017-02-03,28392130.93635251,4,0,0,0,3,2017,"(2, 2017)",101.2457,1
14.0,57139598.54014599,8364972.098540148,81.0,3.0,1986-12-19,88560400.93521899,10,13,3,1,5,1986,"(12, 1986)",100.4236,0
5.0,43426094.89051096,29026916.058394164,49.0,6.0,1986-05-23,93701319.18339416,4,6,3,1,3,1986,"(5, 1986)",101.1465,1
16.0,34283759.124087594,16016053.480839418,79.0,11.0,1986-08-15,92466875.29653284,7,13,3,1,0,1986,"(8, 1986)",101.0079,0
2.0,40722248.026010215,12985829.24756154,35.0,8.0,2008-08-15,35709268.32094751,3,7,1,0,5,2008,"(8, 2008)",97.25879,0
2.0,31414305.620065026,14557008.762192288,24.0,5.0,2008-01-04,31270648.000464465,1,12,1,1,1,2008,"(1, 2008)",98.66032,0
4.0,23269856.01486298,24206399.07338597,17.0,6.0,2008-04-11,51041672.89828146,7,21,6,5,2,2008,"(4, 2008)",97.29633000000001,0
6.0,13961913.608917788,16534769.67254993,53.0,4.0,2008-10-10,36873193.94101254,12,2,2,1,3,2008,"(10, 2008)",96.98624000000001,0
0.0,9307942.405945193,12155659.681839293,37.0,1.0,2008-03-21,30165346.128657684,6,5,1,3,4,2008,"(3, 2008)",97.81635,0
5.0,13961913.608917788,14457300.919647004,36.0,13.0,2008-02-01,36555427.76823037,1,11,1,1,6,2008,"(2, 2008)",98.27767,0
8.0,9393750.0,14680865.625,65.0,4.0,2016-10-21,36431973.71875,1,5,1,1,5,2016,"(10, 2016)",100.4529,1
6.0,8350000.0,11249946.65,42.0,2.0,2016-01-22,37360160.7625,3,2,2,2,7,2016,"(1, 2016)",100.6007,0
2.0,10437500.0,13298602.45,34.0,6.0,2016-01-08,27746391.39375,0,9,2,5,5,2016,"(1, 2016)",100.6007,0
110.0,3653125.0,9185240.0625,83.0,3.0,2016-02-19,26238092.275,9,4,2,1,5,2016,"(2, 2016)",100.5639,0
1.0,10437500.0,14823674.63125,28.0,1.0,2016-09-09,31003386.13125,0,0,0,1,0,2016,"(9, 2016)",100.3769,0
2.0,12575301.20481928,20900764.277108435,54.0,4.0,1983-06-03,87335466.86746989,4,11,1,3,3,1983,"(6, 1983)",100.6936,1
9.0,25150602.40963856,16634608.433734942,44.0,11.0,1983-06-24,74194277.10843374,1,6,2,2,5,1983,"(6, 1983)",100.6936,1
0.0,8697916.666666668,13328197.93154762,24.0,7.0,2006-03-24,28686325.595238093,4,19,2,1,3,2006,"(3, 2006)",100.1297,0
9.0,18638392.85714286,19518761.19047619,52.0,2.0,2006-03-10,51912724.11458334,5,24,1,3,5,2006,"(3, 2006)",100.1297,0
0.0,24851190.47619048,10999739.546130953,19.0,3.0,2006-09-08,28941826.89732143,6,5,1,1,4,2006,"(9, 2006)",100.0267,0
3.0,24851190.47619048,25876674.85119048,33.0,3.0,2006-10-13,48638549.94791667,3,3,1,1,1,2006,"(10, 2006)",100.4398,1
5.0,19880952.38095238,22997574.970238093,30.0,11.0,2006-10-06,49103172.77529762,6,25,2,2,6,2006,"(10, 2006)",100.4398,1
3.0,17854597.291518174,13840832.042052746,42.0,3.0,1992-03-06,57315042.76550249,3,5,2,2,2,1992,"(3, 1992)",98.53542,0
50.0,35771113.831089355,126122221.37698899,69.0,13.0,2017-09-08,334696768.1517748,5,8,3,1,6,2017,"(9, 2017)",101.1756,0
337.0,5110159.118727052,34112417.503059976,84.0,5.0,2017-02-24,179919161.90330482,6,12,3,1,2,2017,"(2, 2017)",101.2457,0
6.0,15330477.35618115,35777658.92288861,62.0,5.0,2017-08-11,104341478.37821296,1,11,1,1,2,2017,"(8, 2017)",101.0563,1
14.0,99137086.90330476,36957305.428396575,65.0,7.0,2017-05-19,75898158.97796817,3,19,4,1,2,2017,"(5, 2017)",101.1061,1
2.0,4905752.753977968,26612712.209302325,57.0,9.0,2017-10-13,56910661.65850674,10,10,1,2,3,2017,"(10, 2017)",101.3234,0
31.0,181259044.8625181,93301668.64688855,65.0,24.0,2007-12-14,309815470.85383505,3,11,2,2,7,2007,"(12, 2007)",98.81931999999999,0
38.0,27560839.16083917,28884174.02097902,73.0,14.0,2009-10-02,88276767.56643356,2,5,1,3,2,2009,"(10, 2009)",98.08700999999999,0
13.0,30209840.81041968,24914257.51808973,64.0,10.0,2007-06-22,86986974.50072359,5,14,2,7,2,2007,"(6, 2007)",100.0547,0
8.0,12083936.324167872,38374671.40376266,36.0,1.0,2007-10-26,76491431.72937772,5,16,1,2,3,2007,"(10, 2007)",99.26588000000001,1
27.0,204270386.26609442,71399847.28326179,63.0,25.0,2013-06-21,217558401.74034333,4,13,3,1,6,2013,"(6, 2013)",99.67896,0
7.0,3225321.888412017,36616391.330472104,41.0,2.0,2013-06-07,69315516.34120171,4,12,1,3,2,2013,"(6, 2013)",99.67896,0
37.0,21502145.92274678,44998966.36480687,68.0,4.0,2013-07-19,147719894.07939914,2,8,3,1,4,2013,"(7, 2013)",99.64159000000001,0
16.0,5375536.480686695,43296831.76609442,40.0,7.0,2013-09-13,89864399.02789699,1,10,1,1,9,2013,"(9, 2013)",98.9855,1
30.0,21502145.92274678,30235298.394849785,57.0,7.0,2013-01-18,77007978.92703862,5,17,2,2,6,2013,"(1, 2013)",98.69274,0
7.0,53755364.80686695,21169890.463519312,23.0,6.0,2013-01-25,59887212.39270386,3,14,4,3,3,2013,"(1, 2013)",98.69274,0
11.0,37628755.36480687,21882698.427038625,60.0,2.0,2013-02-01,71366334.03862661,1,14,1,1,1,2013,"(2, 2013)",98.79479,0
68.0,17000000.0,50203562.0,82.0,7.0,2018-04-06,188024361.0,3,7,2,1,7,2018,"(4, 2018)",101.4576,0
13.0,10000000.0,76221545.0,67.0,11.0,2018-10-21,159342015.0,8,20,2,4,6,2018,"(10, 2018)",101.3662,1
4.0,130000000.0,45402195.0,46.0,1.0,2018-08-10,143005856.0,2,1,1,0,2,2018,"(8, 2018)",101.2865,0
1.0,22000000.0,53807379.0,46.0,13.0,2018-09-07,117443149.0,2,12,1,0,12,2018,"(9, 2018)",101.3644,0
1.0,42000000.0,26608020.0,57.0,5.0,2018-09-21,68549695.0,1,6,3,0,4,2018,"(9, 2018)",101.3644,0
